Age,Gender,Ankle_stance_even,Ankle_swing_even,Knee_stance_even,Knee_swing_even,Ankle_stance_uneven,Ankle_swing_uneven,Knee_stance_uneven,Knee_swing_uneven
Old,Male,45.50024623,23.51204546,72.6946791,56.62547876,44.89469455,25.7714849,61.20551108,37.03709113
Old,Female,66.89321005,27.32570815,65.87584783,68.69156571,64.20033729,28.46376347,56.23251158,63.63440202
Old,Male,42.57748547,53.44929724,48.07112104,48.96829562,39.9009978,45.50241727,46.82209761,34.43443208
Old,Female,54.81166674,48.46330939,53.94494066,43.73659403,65.18258887,58.65697711,55.93015073,50.68510387
Old,Female,51.93567008,60.74014933,58.3951887,55.85385214,55.58674954,62.80372815,59.59723435,65.80103101
Old,Female,46.45277021,48.43073268,56.51274749,53.89264723,54.77915898,55.52175096,50.58552049,46.68222046
Old,Male,30.3083525,39.78656004,44.47530625,38.44406173,39.22242292,50.40971021,48.50128074,40.1449481
Old,Male,19.19575799,17.83742987,39.39194851,51.06208427,27.75212189,19.85707525,47.94454942,55.16753877
Old,Male,24.49770831,56.07710318,58.77208208,27.92663105,24.63132285,64.91063286,52.04342189,21.9660004
Old,Male,27.4172158,64.66682079,54.54654591,40.80342293,30.04850419,54.92250767,65.20162663,42.5861826
Old,Male,24.68417626,16.02801783,63.11356789,52.77159074,23.70115719,24.72383126,62.65476085,54.09835264
Old,Female,33.3011449,38.9573157,52.34246414,57.27575434,47.17204056,67.39665699,49.08912014,60.09978832
Old,Female,55.45082781,55.88865838,57.37118795,65.35873031,54.23425097,64.37259045,57.12868096,63.23744022
Old,Female,67.8090722,50.00331601,45.61242431,62.71791602,61.73793141,48.55336363,51.47845907,55.55928693
Old,Female,44.44577841,41.23733437,68.42376895,54.71872131,57.63634085,57.7983922,63.81793333,61.38729003
Young,Male,66.88878817,45.66116935,67.39004246,51.09077839,59.36109234,45.12675653,62.7916816,52.93322499
Young,Male,50.46002573,42.08597904,32.56022641,26.6999082,53.59702727,52.31369689,51.07211349,24.51345675
Young,Male,40.24976632,40.70734797,34.15196158,44.88008305,48.57440841,33.3580689,29.84080198,42.46163982
Young,Male,42.19542186,37.07750815,42.99061789,35.746395,43.14472872,32.14511453,36.54439992,43.38282458
Young,Male,40.45477969,30.84674554,58.49803751,35.98679032,35.71978367,22.46123829,53.47343867,39.31308548
Young,Female,66.12781493,34.71877246,48.57927628,52.1003973,62.37758758,38.39426584,54.48545326,31.83993189
Young,Female,37.3885129,30.05623814,43.58031521,40.95441444,46.13858802,39.60435188,46.39053236,42.3292252
Young,Female,56.69868126,40.11314105,56.62994067,50.97920748,49.90950806,33.96820879,62.76710104,45.3051829
Young,Female,51.99041765,28.11546625,58.40389496,45.84219112,62.71239642,26.52581322,58.95016201,47.11722807
Young,Female,42.42798797,61.95459199,64.05720608,30.96753211,43.54362652,67.32971177,61.98920836,34.73843622
Young,Female,68.12097904,47.01765165,69.03933116,38.27897238,66.5627153,45.73602608,68.50028709,46.10810919
Young,Female,39.59217807,26.80681218,68.54212847,47.25577178,35.96046903,26.36128316,58.97934696,47.22512301
Young,Female,21.94479916,12.63317067,63.36661676,30.86718897,26.08086695,21.30845975,62.39978664,33.35375693